budget_education,nombre_enseignants,niveau_etablissement,type_etablissement,taux_reussite
352,13,primaire,privé,140.4291787186942
181,16,universitaire,privé,71.40281288457291
413,43,secondaire,privé,184.6171022840971
777,88,primaire,public,328.704335327462
229,103,universitaire,privé,140.25491214468673
559,153,universitaire,public,256.23639557025336
578,151,universitaire,privé,277.1156848809452
131,163,primaire,privé,109.44986336040068
563,89,primaire,public,249.764496475978
820,42,primaire,privé,345.2044541053824
496,103,secondaire,public,211.5536236048262
674,78,secondaire,privé,297.69562519053085
629,48,universitaire,privé,252.1117449394925
978,91,universitaire,public,415.1192816861035
354,38,universitaire,public,124.70486880024073
221,181,primaire,public,145.23056233939832
872,108,universitaire,public,369.64833498081236
496,94,universitaire,privé,237.0434712351758
297,190,secondaire,privé,169.00084755614833
871,45,universitaire,public,353.73332364564556
546,137,primaire,privé,258.5408265531082
158,78,primaire,privé,97.19300342957467
734,32,universitaire,privé,320.48002125035333
918,151,primaire,public,402.14885653263485
376,40,universitaire,privé,176.68473466902256
925,155,primaire,privé,419.49651230437416
263,40,primaire,public,112.45425182493247
384,22,secondaire,public,153.36476573997135
810,119,primaire,public,363.9691438752764
336,198,secondaire,privé,194.20914480184555
691,75,universitaire,public,310.8703344082998
210,147,secondaire,privé,131.2414647730428
308,31,primaire,public,134.02669504393333
469,86,secondaire,privé,200.84009687590412
666,69,universitaire,privé,272.8242212920563
939,99,universitaire,privé,397.47559548382776
307,174,secondaire,public,178.30297375431138
333,156,primaire,privé,193.39435904217325
452,176,primaire,public,244.75139726535403
406,100,primaire,privé,205.50354071010102
259,152,universitaire,public,152.1265588081649
703,88,primaire,public,295.8134394226364
250,193,secondaire,public,164.38402757999245
300,115,universitaire,privé,152.41096943925524
958,23,primaire,public,393.27746588353637
904,103,primaire,public,396.027805681625
977,188,primaire,public,444.96450075922905
775,172,primaire,privé,356.04131713376694
617,78,primaire,public,282.7648788224146
294,140,universitaire,public,154.15366700753597
734,167,primaire,public,323.86612479784196
755,81,secondaire,privé,329.09737640462606
124,198,primaire,privé,117.89536388132792
594,76,primaire,public,266.71541362616716
181,184,secondaire,public,125.80451762149067
694,11,primaire,public,292.5282351732688
478,109,universitaire,public,221.2447802813817
940,113,universitaire,privé,422.52294745384285
337,165,primaire,privé,197.484500945434
892,38,universitaire,public,353.8333906178462
949,70,primaire,public,411.88070866833027
739,178,universitaire,privé,345.3254288221485
700,71,universitaire,privé,298.4208670450982
326,47,universitaire,privé,176.79019941850822
187,136,secondaire,privé,119.70708320999022
823,108,primaire,privé,379.84340229804155
475,101,primaire,privé,224.9415039903197
101,92,secondaire,privé,55.3659241968506
617,150,secondaire,privé,277.28330366938127
273,26,secondaire,public,128.99518297970658
935,51,secondaire,public,401.3487291425558
886,118,universitaire,privé,390.5892705667964
